10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/libs/animate-css/animate.min.css HTTP/1.1" 200 3587 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/libs/iconmoon/style.css HTTP/1.1" 200 6891 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/libs/owl-carousel/owl.transitions.css HTTP/1.1" 200 707 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/css/style.css HTTP/1.1" 200 5384 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/libs/owl-carousel/owl.carousel.css HTTP/1.1" 200 540 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/libs/owl-carousel/owl.theme.css HTTP/1.1" 200 619 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/libs/jquery-magnific/magnific-popup.css HTTP/1.1" 200 1949 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/css/timeline.css HTTP/1.1" 200 1043 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /assets/img/logo.png HTTP/1.1" 200 33477 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /images/portfolio/dato_wira.jpg HTTP/1.1" 200 13301 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /images/portfolio/en_zain.png HTTP/1.1" 200 73362 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /images/portfolio/manzanoo.png HTTP/1.1" 200 90951 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
10.10.25.6 - - [11/Feb/2020:10:19:14 +0700] "GET /images/portfolio/Nek-Mah.jpg HTTP/1.1" 200 29112 "http://icmedh.umm.ac.id/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:72.0) Gecko/20100101 Firefox/72.0"
